event_id,context,pid,engine_step_id,forward_id,phase,total_num_scheduled_tokens,layer_id,layer_type,q_len,process_order,process_id,process_title,hiptx_label,status,error,start_ns,end_ns,duration_ns,hidden_shape,source_csv
input1_layer3,16-32K,72641,1,1,prefill_chunk,4096,3,full_attention,4096,1,runtime_inputs,Runtime FX Inputs,vllm_process_latency|ctx=16-32K|event=input1_layer3|layer=3|q_len=4096|process=01|id=runtime_inputs|name=runtime_inputs,ok,,2435855827879480,2435855827922431,42951,"[4096,5120]",/data3/Projects/scnet_ssh/remote-home/testdata/profile_runs/selected_layer_fx_20260707_codex/process_latency/contexts/16-32K/trace/process_latency_events.csv
input1_layer3,16-32K,72641,1,1,prefill_chunk,4096,3,full_attention,4096,2,pre_attention_residual_rmsnorm,Pre-Attention Residual Add And Input RMSNorm,vllm_process_latency|ctx=16-32K|event=input1_layer3|layer=3|q_len=4096|process=02|id=pre_attention_residual_rmsnorm|name=pre_attention_residual_rmsnorm,ok,,2435855832010837,2435855832360230,349393,"[4096,5120]",/data3/Projects/scnet_ssh/remote-home/testdata/profile_runs/selected_layer_fx_20260707_codex/process_latency/contexts/16-32K/trace/process_latency_events.csv
input1_layer3,16-32K,72641,1,1,prefill_chunk,4096,3,full_attention,4096,3,qkv_projection_and_split,Fused Q/Gate/K/V Projection And Head Reshape,vllm_process_latency|ctx=16-32K|event=input1_layer3|layer=3|q_len=4096|process=03|id=qkv_projection_and_split|name=qkv_projection_and_split,ok,,2435855833876424,2435855836198624,2322200,"[4096,5120]",/data3/Projects/scnet_ssh/remote-home/testdata/profile_runs/selected_layer_fx_20260707_codex/process_latency/contexts/16-32K/trace/process_latency_events.csv
input1_layer3,16-32K,72641,1,1,prefill_chunk,4096,3,full_attention,4096,4,q_head_rmsnorm,Q Head RMSNorm,vllm_process_latency|ctx=16-32K|event=input1_layer3|layer=3|q_len=4096|process=04|id=q_head_rmsnorm|name=q_head_rmsnorm,ok,,2435855837440625,2435855837905599,464974,"[4096,6144]",/data3/Projects/scnet_ssh/remote-home/testdata/profile_runs/selected_layer_fx_20260707_codex/process_latency/contexts/16-32K/trace/process_latency_events.csv
input1_layer3,16-32K,72641,1,1,prefill_chunk,4096,3,full_attention,4096,5,k_head_rmsnorm,K Head RMSNorm,vllm_process_latency|ctx=16-32K|event=input1_layer3|layer=3|q_len=4096|process=05|id=k_head_rmsnorm|name=k_head_rmsnorm,ok,,2435855839410263,2435855839689205,278942,"[4096,1024]",/data3/Projects/scnet_ssh/remote-home/testdata/profile_runs/selected_layer_fx_20260707_codex/process_latency/contexts/16-32K/trace/process_latency_events.csv
input1_layer3,16-32K,72641,1,1,prefill_chunk,4096,3,full_attention,4096,6,mrope_table_lookup,MROPE Cos/Sin Table Lookup And Axis Remap,vllm_process_latency|ctx=16-32K|event=input1_layer3|layer=3|q_len=4096|process=06|id=mrope_table_lookup|name=mrope_table_lookup,ok,,2435855841077268,2435855841566762,489494,"[3,4096]",/data3/Projects/scnet_ssh/remote-home/testdata/profile_runs/selected_layer_fx_20260707_codex/process_latency/contexts/16-32K/trace/process_latency_events.csv
input1_layer3,16-32K,72641,1,1,prefill_chunk,4096,3,full_attention,4096,7,q_rope_apply,Q RoPE Application,vllm_process_latency|ctx=16-32K|event=input1_layer3|layer=3|q_len=4096|process=07|id=q_rope_apply|name=q_rope_apply,ok,,2435855843094016,2435855843837972,743956,"[4096,6144]",/data3/Projects/scnet_ssh/remote-home/testdata/profile_runs/selected_layer_fx_20260707_codex/process_latency/contexts/16-32K/trace/process_latency_events.csv
input1_layer3,16-32K,72641,1,1,prefill_chunk,4096,3,full_attention,4096,8,k_rope_apply,K RoPE Application,vllm_process_latency|ctx=16-32K|event=input1_layer3|layer=3|q_len=4096|process=08|id=k_rope_apply|name=k_rope_apply,ok,,2435855845236874,2435855845722249,485375,"[4096,1024]",/data3/Projects/scnet_ssh/remote-home/testdata/profile_runs/selected_layer_fx_20260707_codex/process_latency/contexts/16-32K/trace/process_latency_events.csv
input1_layer3,16-32K,72641,1,1,prefill_chunk,4096,3,full_attention,4096,9,vllm_attention_and_kv_cache,vLLM Attention And KV Cache Update,vllm_process_latency|ctx=16-32K|event=input1_layer3|layer=3|q_len=4096|process=09|id=vllm_attention_and_kv_cache|name=vllm_attention_and_kv_cache,ok,,2435855847287013,2435855919218772,71931759,"[4096,6144]",/data3/Projects/scnet_ssh/remote-home/testdata/profile_runs/selected_layer_fx_20260707_codex/process_latency/contexts/16-32K/trace/process_latency_events.csv
input1_layer3,16-32K,72641,1,1,prefill_chunk,4096,3,full_attention,4096,10,attention_gate_projection_residual,"Attention Gate, Output Projection, And Residual",vllm_process_latency|ctx=16-32K|event=input1_layer3|layer=3|q_len=4096|process=10|id=attention_gate_projection_residual|name=attention_gate_projection_residual,ok,,2435855921526473,2435855922923765,1397292,"[4096,6144]",/data3/Projects/scnet_ssh/remote-home/testdata/profile_runs/selected_layer_fx_20260707_codex/process_latency/contexts/16-32K/trace/process_latency_events.csv
