event_id,context,pid,engine_step_id,forward_id,phase,total_num_scheduled_tokens,layer_id,layer_type,q_len,hidden_shape_in,residual_shape_in,positions_shape,hidden_shape_out,residual_shape_out,matched,fx_sampled,fx_traced,fx_trace_status,fx_node_count,trace_dir,error,duration_ns
input1_layer0,16-32K,51738,1,1,prefill_chunk,4096,0,linear_attention,4096,"[4096,5120]",null,"[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,12165056800
input1_layer1,16-32K,51738,1,1,prefill_chunk,4096,1,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,13620682
input1_layer2,16-32K,51738,1,1,prefill_chunk,4096,2,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3659143
input1_layer3,16-32K,51738,1,1,prefill_chunk,4096,3,full_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",True,True,True,ok,155,profile_runs/selected_layer_fx_20260707_codex/contexts/16-32K/fx_trace/traces/input1_layer3,,25585749
input1_layer4,16-32K,51738,1,1,prefill_chunk,4096,4,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,4257578
input1_layer5,16-32K,51738,1,1,prefill_chunk,4096,5,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3442361
input1_layer6,16-32K,51738,1,1,prefill_chunk,4096,6,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3376930
input1_layer7,16-32K,51738,1,1,prefill_chunk,4096,7,full_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,2304531
input1_layer8,16-32K,51738,1,1,prefill_chunk,4096,8,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3376430
input1_layer9,16-32K,51738,1,1,prefill_chunk,4096,9,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3379600
input1_layer10,16-32K,51738,1,1,prefill_chunk,4096,10,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3405610
input1_layer11,16-32K,51738,1,1,prefill_chunk,4096,11,full_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,2194510
input1_layer12,16-32K,51738,1,1,prefill_chunk,4096,12,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3397220
input1_layer13,16-32K,51738,1,1,prefill_chunk,4096,13,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3409281
input1_layer14,16-32K,51738,1,1,prefill_chunk,4096,14,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3401201
input1_layer15,16-32K,51738,1,1,prefill_chunk,4096,15,full_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,2232160
input1_layer16,16-32K,51738,1,1,prefill_chunk,4096,16,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3425340
input1_layer17,16-32K,51738,1,1,prefill_chunk,4096,17,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3428261
input1_layer18,16-32K,51738,1,1,prefill_chunk,4096,18,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3454551
input1_layer19,16-32K,51738,1,1,prefill_chunk,4096,19,full_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,2239930
input1_layer20,16-32K,51738,1,1,prefill_chunk,4096,20,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3671583
input1_layer21,16-32K,51738,1,1,prefill_chunk,4096,21,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3457581
input1_layer22,16-32K,51738,1,1,prefill_chunk,4096,22,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3444760
input1_layer23,16-32K,51738,1,1,prefill_chunk,4096,23,full_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,2234500
input1_layer24,16-32K,51738,1,1,prefill_chunk,4096,24,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3498881
input1_layer25,16-32K,51738,1,1,prefill_chunk,4096,25,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3471841
input1_layer26,16-32K,51738,1,1,prefill_chunk,4096,26,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3443890
input1_layer27,16-32K,51738,1,1,prefill_chunk,4096,27,full_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,2217540
input1_layer28,16-32K,51738,1,1,prefill_chunk,4096,28,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3475322
input1_layer29,16-32K,51738,1,1,prefill_chunk,4096,29,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3480552
input1_layer30,16-32K,51738,1,1,prefill_chunk,4096,30,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3468511
input1_layer31,16-32K,51738,1,1,prefill_chunk,4096,31,full_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,2240470
input1_layer32,16-32K,51738,1,1,prefill_chunk,4096,32,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3492931
input1_layer33,16-32K,51738,1,1,prefill_chunk,4096,33,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3559692
input1_layer34,16-32K,51738,1,1,prefill_chunk,4096,34,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3526492
input1_layer35,16-32K,51738,1,1,prefill_chunk,4096,35,full_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,2263770
input1_layer36,16-32K,51738,1,1,prefill_chunk,4096,36,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3515832
input1_layer37,16-32K,51738,1,1,prefill_chunk,4096,37,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3641402
input1_layer38,16-32K,51738,1,1,prefill_chunk,4096,38,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3510922
input1_layer39,16-32K,51738,1,1,prefill_chunk,4096,39,full_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,2275731
input1_layer40,16-32K,51738,1,1,prefill_chunk,4096,40,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3541371
input1_layer41,16-32K,51738,1,1,prefill_chunk,4096,41,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3543682
input1_layer42,16-32K,51738,1,1,prefill_chunk,4096,42,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3543051
input1_layer43,16-32K,51738,1,1,prefill_chunk,4096,43,full_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,2278021
input1_layer44,16-32K,51738,1,1,prefill_chunk,4096,44,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3581262
input1_layer45,16-32K,51738,1,1,prefill_chunk,4096,45,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3544992
input1_layer46,16-32K,51738,1,1,prefill_chunk,4096,46,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3534331
input1_layer47,16-32K,51738,1,1,prefill_chunk,4096,47,full_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,2292491
input1_layer48,16-32K,51738,1,1,prefill_chunk,4096,48,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3571972
input1_layer49,16-32K,51738,1,1,prefill_chunk,4096,49,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3557402
input1_layer50,16-32K,51738,1,1,prefill_chunk,4096,50,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3571482
input1_layer51,16-32K,51738,1,1,prefill_chunk,4096,51,full_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,2286601
input1_layer52,16-32K,51738,1,1,prefill_chunk,4096,52,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3625943
input1_layer53,16-32K,51738,1,1,prefill_chunk,4096,53,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3643152
input1_layer54,16-32K,51738,1,1,prefill_chunk,4096,54,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3760453
input1_layer55,16-32K,51738,1,1,prefill_chunk,4096,55,full_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,2330620
input1_layer56,16-32K,51738,1,1,prefill_chunk,4096,56,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3653403
input1_layer57,16-32K,51738,1,1,prefill_chunk,4096,57,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3614212
input1_layer58,16-32K,51738,1,1,prefill_chunk,4096,58,linear_attention,4096,"[4096,5120]","[4096,5120]","[3,4096]","[4096,5120]","[4096,5120]",False,False,False,,,,,3644512
