-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                execute_context_1(4096)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        9.708s        52.12%        9.708s        3.236s             3  
                    vllm::unified_attention_with_output         0.09%      15.985ms         0.10%      18.800ms     293.750us        9.372s        50.31%        9.372s     146.438ms            64  
                            kernel_unified_attention_2d         0.00%       0.000us         0.00%       0.000us       0.000us        9.372s        50.31%        9.372s     146.438ms            64  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        6.539s        35.11%        6.539s      71.078ms            92  
Cijk_Alik_Bljk_BBH_MT64x32x32_SE_AMAS3_BW_DTL0_BL1_D...         0.00%       0.000us         0.00%       0.000us       0.000us        4.027s        21.62%        4.027s     390.813us         10304  
                execute_context_1(1685)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        2.533s        13.60%        2.533s        2.533s             1  
                                               aten::mm         0.27%      50.068ms         0.39%      72.303ms      55.109us        2.295s        12.32%        2.295s       1.749ms          1312  
Cijk_Alik_Bljk_BBH_MT32x16x4_SE_AMAS3_BW_DTL0_BL1_DR...         0.00%       0.000us         0.00%       0.000us       0.000us        1.352s         7.26%        1.352s     113.921us         11872  
## Call CompiledFxGraph f6vus5dtvsegihazoyj7tid7wufq...         0.00%       0.000us         0.00%       0.000us       0.000us        1.182s         6.35%        1.182s       9.234ms           128  
Cijk_Alik_Bljk_BBH_MT256x256x16_SE_AMAS3_BW_DTL0_BL1...         0.00%       0.000us         0.00%       0.000us       0.000us     828.485ms         4.45%     828.485ms       4.315ms           192  
Cijk_Alik_Bljk_BBH_MT256x256x16_SE_AMAS3_BW_DTL0_BL1...         0.00%       0.000us         0.00%       0.000us       0.000us     660.211ms         3.54%     660.211ms       1.474ms           448  
Cijk_Alik_Bljk_BBH_MT256x256x16_SE_AMAS3_BW_DTL0_BL1...         0.00%       0.000us         0.00%       0.000us       0.000us     611.317ms         3.28%     611.317ms       1.592ms           384  
## Call CompiledFxGraph fbks22lttyt6iuni4kcnb25dx7rk...         0.00%       0.000us         0.00%       0.000us       0.000us     591.620ms         3.18%     591.620ms       9.244ms            64  
## Call CompiledFxGraph fcv4jhjpzc6y3refdtcjcaok6hrz...         0.00%       0.000us         0.00%       0.000us       0.000us     546.077ms         2.93%     546.077ms       9.101ms            60  
                            ChunkGatedDeltaRuleFunction         1.24%     232.569ms         1.57%     293.469ms       1.528ms     342.764ms         1.84%     346.790ms       1.806ms           192  
