-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                   execute_context_0(0)_generation_1(1)         0.00%       0.000us         0.00%       0.000us       0.000us        6.142s        59.56%        6.142s      69.797ms            88  
Cijk_Alik_Bljk_BBH_MT64x32x32_SE_AMAS3_BW_DTL0_BL1_D...         0.00%       0.000us         0.00%       0.000us       0.000us        3.852s        37.35%        3.852s     390.833us          9856  
                    vllm::unified_attention_with_output         0.08%       7.863ms         0.09%       9.217ms     288.030us        2.736s        26.53%        2.736s      85.490ms            32  
                            kernel_unified_attention_2d         0.00%       0.000us         0.00%       0.000us       0.000us        2.736s        26.53%        2.736s      85.490ms            32  
                execute_context_1(3489)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        2.703s        26.21%        2.703s        2.703s             1  
                execute_context_1(4096)_generation_0(0)         0.00%       0.000us         0.00%       0.000us       0.000us        1.604s        15.55%        1.604s        1.604s             1  
                                               aten::mm         0.26%      26.648ms         0.37%      38.105ms      54.591us        1.336s        12.96%        1.336s       1.914ms           698  
Cijk_Alik_Bljk_BBH_MT32x16x4_SE_AMAS3_BW_DTL0_BL1_DR...         0.00%       0.000us         0.00%       0.000us       0.000us        1.289s        12.50%        1.289s     113.545us         11354  
## Call CompiledFxGraph f6vus5dtvsegihazoyj7tid7wufq...         0.00%       0.000us         0.00%       0.000us       0.000us     651.467ms         6.32%     651.467ms      10.179ms            64  
Cijk_Alik_Bljk_BBH_MT256x256x16_SE_AMAS3_BW_DTL0_BL1...         0.00%       0.000us         0.00%       0.000us       0.000us     631.490ms         6.12%     631.490ms       2.467ms           256  
## Call CompiledFxGraph fbks22lttyt6iuni4kcnb25dx7rk...         0.00%       0.000us         0.00%       0.000us       0.000us     323.668ms         3.14%     323.668ms      10.115ms            32  
Cijk_Alik_Bljk_BBH_MT128x32x32_SE_AMAS3_BW_DTL0_BL1_...         0.00%       0.000us         0.00%       0.000us       0.000us     318.067ms         3.08%     318.067ms     225.900us          1408  
## Call CompiledFxGraph fcv4jhjpzc6y3refdtcjcaok6hrz...         0.00%       0.000us         0.00%       0.000us       0.000us     300.116ms         2.91%     300.116ms      10.004ms            30  
Cijk_Alik_Bljk_BBH_MT256x256x16_SE_AMAS3_BW_DTL0_BL1...         0.00%       0.000us         0.00%       0.000us       0.000us     276.751ms         2.68%     276.751ms       4.324ms            64  
Cijk_Alik_Bljk_BBH_MT256x256x16_SE_AMAS3_BW_DTL0_BL1...         0.00%       0.000us         0.00%       0.000us       0.000us     250.862ms         2.43%     250.862ms       1.307ms           192  
