-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                     triton_poi_fused_0         0.00%       0.000us         0.00%       0.000us       0.000us      28.036ms         0.11%      28.036ms      15.106us          1856  
Cijk_Alik_Bljk_BBH_MT64x128x32_SE_AMAS3_BW_DTL0_BL1_...         0.00%       0.000us         0.00%       0.000us       0.000us      26.980ms         0.10%      26.980ms     421.561us            64  
                        chunk_scaled_dot_kkt_fwd_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      22.544ms         0.09%      22.544ms      78.277us           288  
                                     triton_per_fused_1         0.00%       0.000us         0.00%       0.000us       0.000us      21.989ms         0.08%      21.989ms      15.797us          1392  
                                     l2norm_fwd_kernel2         0.00%       0.000us         0.00%       0.000us       0.000us      21.699ms         0.08%      21.699ms      37.671us           576  
triton_red_fused__to_copy_add_copy__mean_mul_pow_rsq...         0.00%       0.000us         0.00%       0.000us       0.000us      21.411ms         0.08%      21.411ms      46.144us           464  
triton_red_fused__to_copy_add_copy__mean_mul_pow_roc...         0.00%       0.000us         0.00%       0.000us       0.000us      21.295ms         0.08%      21.295ms      45.893us           464  
                                fused_gdn_gating_kernel         0.00%       0.000us         0.00%       0.000us       0.000us      20.272ms         0.08%      20.272ms      70.389us           288  
                                     triton_poi_fused_0         0.03%       6.629ms         0.05%      12.705ms      39.705us      20.165ms         0.08%      20.165ms      63.015us           320  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      19.756ms         0.08%      19.756ms      41.331us           478  
triton_red_fused__to_copy_add_copy__mean_mul_pow_rsq...         0.01%       1.695ms         0.01%       3.177ms      39.707us      18.897ms         0.07%      18.897ms     236.219us            80  
triton_red_fused__to_copy_add_copy__mean_mul_pow_roc...         0.01%       1.710ms         0.01%       3.211ms      40.141us      18.744ms         0.07%      18.744ms     234.301us            80  
Cijk_Alik_Bljk_BBH_MT32x32x32_SE_AMAS3_BW_DTL0_BL1_D...         0.00%       0.000us         0.00%       0.000us       0.000us      17.322ms         0.07%      17.322ms      15.690us          1104  
Cijk_Alik_Bljk_BBH_MT128x64x32_SE_AMAS3_BW_DTL0_BL1_...         0.00%       0.000us         0.00%       0.000us       0.000us      16.926ms         0.06%      16.926ms      70.524us           240  
                                     triton_per_fused_1         0.01%       3.294ms         0.03%       6.628ms      27.617us      16.194ms         0.06%      16.194ms      67.474us           240  
                                     triton_poi_fused_8         0.00%       0.000us         0.00%       0.000us       0.000us      15.680ms         0.06%      15.680ms      33.792us           464  
fused_recurrent_gated_delta_rule_packed_decode_kerne...         0.00%       0.000us         0.00%       0.000us       0.000us      15.000ms         0.06%      15.000ms      13.587us          1104  
                                     triton_poi_fused_6         0.00%       0.000us         0.00%       0.000us       0.000us      12.830ms         0.05%      12.830ms       9.217us          1392  
## Call CompiledFxGraph fomkfqby5qn5kudwqhj3yurzrumu...         0.00%       0.000us         0.00%       0.000us       0.000us      12.083ms         0.05%      12.083ms       2.417ms             5  
