event_id,context,pid,engine_step_id,forward_id,phase,total_num_scheduled_tokens,layer_id,layer_type,q_len,matched,instrumented,status,error,duration_ns
input1_layer0,16-32K,72641,1,1,prefill_chunk,4096,0,linear_attention,4096,False,False,ok,,12362322259
input1_layer1,16-32K,72641,1,1,prefill_chunk,4096,1,linear_attention,4096,False,False,ok,,13771842
input1_layer2,16-32K,72641,1,1,prefill_chunk,4096,2,linear_attention,4096,False,False,ok,,4070976
input1_layer3,16-32K,72641,1,1,prefill_chunk,4096,3,full_attention,4096,True,True,ok,,115108833
input1_layer4,16-32K,72641,1,1,prefill_chunk,4096,4,linear_attention,4096,False,False,ok,,4391639
input1_layer5,16-32K,72641,1,1,prefill_chunk,4096,5,linear_attention,4096,False,False,ok,,3860855
input1_layer6,16-32K,72641,1,1,prefill_chunk,4096,6,linear_attention,4096,False,False,ok,,3791274
input1_layer7,16-32K,72641,1,1,prefill_chunk,4096,7,full_attention,4096,False,False,ok,,2472322
input1_layer8,16-32K,72641,1,1,prefill_chunk,4096,8,linear_attention,4096,False,False,ok,,3824484
input1_layer9,16-32K,72641,1,1,prefill_chunk,4096,9,linear_attention,4096,False,False,ok,,3832394
input1_layer10,16-32K,72641,1,1,prefill_chunk,4096,10,linear_attention,4096,False,False,ok,,3838514
input1_layer11,16-32K,72641,1,1,prefill_chunk,4096,11,full_attention,4096,False,False,ok,,2401902
input1_layer12,16-32K,72641,1,1,prefill_chunk,4096,12,linear_attention,4096,False,False,ok,,3826814
input1_layer13,16-32K,72641,1,1,prefill_chunk,4096,13,linear_attention,4096,False,False,ok,,3774713
input1_layer14,16-32K,72641,1,1,prefill_chunk,4096,14,linear_attention,4096,False,False,ok,,3793974
input1_layer15,16-32K,72641,1,1,prefill_chunk,4096,15,full_attention,4096,False,False,ok,,2412672
input1_layer16,16-32K,72641,1,1,prefill_chunk,4096,16,linear_attention,4096,False,False,ok,,3857104
input1_layer17,16-32K,72641,1,1,prefill_chunk,4096,17,linear_attention,4096,False,False,ok,,3818584
input1_layer18,16-32K,72641,1,1,prefill_chunk,4096,18,linear_attention,4096,False,False,ok,,3990706
input1_layer19,16-32K,72641,1,1,prefill_chunk,4096,19,full_attention,4096,False,False,ok,,2405781
input1_layer20,16-32K,72641,1,1,prefill_chunk,4096,20,linear_attention,4096,False,False,ok,,3860695
input1_layer21,16-32K,72641,1,1,prefill_chunk,4096,21,linear_attention,4096,False,False,ok,,3820404
input1_layer22,16-32K,72641,1,1,prefill_chunk,4096,22,linear_attention,4096,False,False,ok,,3867875
input1_layer23,16-32K,72641,1,1,prefill_chunk,4096,23,full_attention,4096,False,False,ok,,2409961
input1_layer24,16-32K,72641,1,1,prefill_chunk,4096,24,linear_attention,4096,False,False,ok,,3891385
input1_layer25,16-32K,72641,1,1,prefill_chunk,4096,25,linear_attention,4096,False,False,ok,,3928405
input1_layer26,16-32K,72641,1,1,prefill_chunk,4096,26,linear_attention,4096,False,False,ok,,3871915
input1_layer27,16-32K,72641,1,1,prefill_chunk,4096,27,full_attention,4096,False,False,ok,,2449652
input1_layer28,16-32K,72641,1,1,prefill_chunk,4096,28,linear_attention,4096,False,False,ok,,3948355
input1_layer29,16-32K,72641,1,1,prefill_chunk,4096,29,linear_attention,4096,False,False,ok,,3908554
input1_layer30,16-32K,72641,1,1,prefill_chunk,4096,30,linear_attention,4096,False,False,ok,,3896255
input1_layer31,16-32K,72641,1,1,prefill_chunk,4096,31,full_attention,4096,False,False,ok,,2433222
input1_layer32,16-32K,72641,1,1,prefill_chunk,4096,32,linear_attention,4096,False,False,ok,,3884324
input1_layer33,16-32K,72641,1,1,prefill_chunk,4096,33,linear_attention,4096,False,False,ok,,3869255
input1_layer34,16-32K,72641,1,1,prefill_chunk,4096,34,linear_attention,4096,False,False,ok,,3931235
input1_layer35,16-32K,72641,1,1,prefill_chunk,4096,35,full_attention,4096,False,False,ok,,2442871
input1_layer36,16-32K,72641,1,1,prefill_chunk,4096,36,linear_attention,4096,False,False,ok,,4106087
input1_layer37,16-32K,72641,1,1,prefill_chunk,4096,37,linear_attention,4096,False,False,ok,,3914775
input1_layer38,16-32K,72641,1,1,prefill_chunk,4096,38,linear_attention,4096,False,False,ok,,3904664
input1_layer39,16-32K,72641,1,1,prefill_chunk,4096,39,full_attention,4096,False,False,ok,,2438812
input1_layer40,16-32K,72641,1,1,prefill_chunk,4096,40,linear_attention,4096,False,False,ok,,3948245
input1_layer41,16-32K,72641,1,1,prefill_chunk,4096,41,linear_attention,4096,False,False,ok,,3953705
input1_layer42,16-32K,72641,1,1,prefill_chunk,4096,42,linear_attention,4096,False,False,ok,,3918895
input1_layer43,16-32K,72641,1,1,prefill_chunk,4096,43,full_attention,4096,False,False,ok,,2443462
input1_layer44,16-32K,72641,1,1,prefill_chunk,4096,44,linear_attention,4096,False,False,ok,,3951565
input1_layer45,16-32K,72641,1,1,prefill_chunk,4096,45,linear_attention,4096,False,False,ok,,3968646
input1_layer46,16-32K,72641,1,1,prefill_chunk,4096,46,linear_attention,4096,False,False,ok,,3960485
input1_layer47,16-32K,72641,1,1,prefill_chunk,4096,47,full_attention,4096,False,False,ok,,2487803
input1_layer48,16-32K,72641,1,1,prefill_chunk,4096,48,linear_attention,4096,False,False,ok,,4001135
input1_layer49,16-32K,72641,1,1,prefill_chunk,4096,49,linear_attention,4096,False,False,ok,,3953656
input1_layer50,16-32K,72641,1,1,prefill_chunk,4096,50,linear_attention,4096,False,False,ok,,3934965
input1_layer51,16-32K,72641,1,1,prefill_chunk,4096,51,full_attention,4096,False,False,ok,,2470832
input1_layer52,16-32K,72641,1,1,prefill_chunk,4096,52,linear_attention,4096,False,False,ok,,3981026
input1_layer53,16-32K,72641,1,1,prefill_chunk,4096,53,linear_attention,4096,False,False,ok,,4176687
input1_layer54,16-32K,72641,1,1,prefill_chunk,4096,54,linear_attention,4096,False,False,ok,,3936385
input1_layer55,16-32K,72641,1,1,prefill_chunk,4096,55,full_attention,4096,False,False,ok,,2445512
input1_layer56,16-32K,72641,1,1,prefill_chunk,4096,56,linear_attention,4096,False,False,ok,,3938055
input1_layer57,16-32K,72641,1,1,prefill_chunk,4096,57,linear_attention,4096,False,False,ok,,4111847
input1_layer58,16-32K,72641,1,1,prefill_chunk,4096,58,linear_attention,4096,False,False,ok,,4135257
input1_layer59,16-32K,72641,1,1,prefill_chunk,4096,59,full_attention,4096,False,False,ok,,2547202
input1_layer60,16-32K,72641,1,1,prefill_chunk,4096,60,linear_attention,4096,False,False,ok,,4067466
input1_layer61,16-32K,72641,1,1,prefill_chunk,4096,61,linear_attention,4096,False,False,ok,,4130447
input1_layer62,16-32K,72641,1,1,prefill_chunk,4096,62,linear_attention,4096,False,False,ok,,4013446
input1_layer63,16-32K,72641,1,1,prefill_chunk,4096,63,full_attention,4096,False,False,ok,,2532493
input2_layer0,16-32K,72641,2,2,prefill_chunk,4096,0,linear_attention,4096,False,False,ok,,6918622
input2_layer1,16-32K,72641,2,2,prefill_chunk,4096,1,linear_attention,4096,False,False,ok,,4290009
input2_layer2,16-32K,72641,2,2,prefill_chunk,4096,2,linear_attention,4096,False,False,ok,,4040705
input2_layer3,16-32K,72641,2,2,prefill_chunk,4096,3,full_attention,4096,False,False,ok,,2537433
input2_layer4,16-32K,72641,2,2,prefill_chunk,4096,4,linear_attention,4096,False,False,ok,,3897955
input2_layer5,16-32K,72641,2,2,prefill_chunk,4096,5,linear_attention,4096,False,False,ok,,3805674
input2_layer6,16-32K,72641,2,2,prefill_chunk,4096,6,linear_attention,4096,False,False,ok,,3821434
input2_layer7,16-32K,72641,2,2,prefill_chunk,4096,7,full_attention,4096,False,False,ok,,2407471
input2_layer8,16-32K,72641,2,2,prefill_chunk,4096,8,linear_attention,4096,False,False,ok,,3864385
input2_layer9,16-32K,72641,2,2,prefill_chunk,4096,9,linear_attention,4096,False,False,ok,,3860724
input2_layer10,16-32K,72641,2,2,prefill_chunk,4096,10,linear_attention,4096,False,False,ok,,3841074
input2_layer11,16-32K,72641,2,2,prefill_chunk,4096,11,full_attention,4096,False,False,ok,,2421361
input2_layer12,16-32K,72641,2,2,prefill_chunk,4096,12,linear_attention,4096,False,False,ok,,3866124
input2_layer13,16-32K,72641,2,2,prefill_chunk,4096,13,linear_attention,4096,False,False,ok,,3877924
input2_layer14,16-32K,72641,2,2,prefill_chunk,4096,14,linear_attention,4096,False,False,ok,,3847334
input2_layer15,16-32K,72641,2,2,prefill_chunk,4096,15,full_attention,4096,False,False,ok,,2398551
input2_layer16,16-32K,72641,2,2,prefill_chunk,4096,16,linear_attention,4096,False,False,ok,,3859744
input2_layer17,16-32K,72641,2,2,prefill_chunk,4096,17,linear_attention,4096,False,False,ok,,3868344
input2_layer18,16-32K,72641,2,2,prefill_chunk,4096,18,linear_attention,4096,False,False,ok,,3870394
input2_layer19,16-32K,72641,2,2,prefill_chunk,4096,19,full_attention,4096,False,False,ok,,2440292
input2_layer20,16-32K,72641,2,2,prefill_chunk,4096,20,linear_attention,4096,False,False,ok,,4038746
input2_layer21,16-32K,72641,2,2,prefill_chunk,4096,21,linear_attention,4096,False,False,ok,,3913235
input2_layer22,16-32K,72641,2,2,prefill_chunk,4096,22,linear_attention,4096,False,False,ok,,3924764
input2_layer23,16-32K,72641,2,2,prefill_chunk,4096,23,full_attention,4096,False,False,ok,,2468022
