event_id,context,pid,engine_step_id,forward_id,phase,total_num_scheduled_tokens,layer_id,layer_type,q_len,matched,instrumented,status,error,duration_ns
input1_layer51,4-8K,69298,1,1,prefill_chunk,4096,51,full_attention,4096,False,False,ok,,2388141
input1_layer52,4-8K,69298,1,1,prefill_chunk,4096,52,linear_attention,4096,False,False,ok,,3798124
input1_layer53,4-8K,69298,1,1,prefill_chunk,4096,53,linear_attention,4096,False,False,ok,,3892405
input1_layer54,4-8K,69298,1,1,prefill_chunk,4096,54,linear_attention,4096,False,False,ok,,3819614
input1_layer55,4-8K,69298,1,1,prefill_chunk,4096,55,full_attention,4096,False,False,ok,,2417812
input1_layer56,4-8K,69298,1,1,prefill_chunk,4096,56,linear_attention,4096,False,False,ok,,3870864
input1_layer57,4-8K,69298,1,1,prefill_chunk,4096,57,linear_attention,4096,False,False,ok,,3894234
input1_layer58,4-8K,69298,1,1,prefill_chunk,4096,58,linear_attention,4096,False,False,ok,,3879864
input1_layer59,4-8K,69298,1,1,prefill_chunk,4096,59,full_attention,4096,True,True,ok,,298485288
input1_layer60,4-8K,69298,1,1,prefill_chunk,4096,60,linear_attention,4096,False,False,ok,,3878314
input1_layer61,4-8K,69298,1,1,prefill_chunk,4096,61,linear_attention,4096,False,False,ok,,3748453
input1_layer62,4-8K,69298,1,1,prefill_chunk,4096,62,linear_attention,4096,False,False,ok,,3752633
input1_layer63,4-8K,69298,1,1,prefill_chunk,4096,63,full_attention,4096,False,False,ok,,2394002
input2_layer0,4-8K,69298,2,2,prefill_chunk,3489,0,linear_attention,3489,False,False,ok,,21419511
input2_layer1,4-8K,69298,2,2,prefill_chunk,3489,1,linear_attention,3489,False,False,ok,,3903104
input2_layer2,4-8K,69298,2,2,prefill_chunk,3489,2,linear_attention,3489,False,False,ok,,3803384
input2_layer3,4-8K,69298,2,2,prefill_chunk,3489,3,full_attention,3489,False,False,ok,,18076121
input2_layer4,4-8K,69298,2,2,prefill_chunk,3489,4,linear_attention,3489,False,False,ok,,4136306
input2_layer5,4-8K,69298,2,2,prefill_chunk,3489,5,linear_attention,3489,False,False,ok,,3794953
input2_layer6,4-8K,69298,2,2,prefill_chunk,3489,6,linear_attention,3489,False,False,ok,,3782404
input2_layer7,4-8K,69298,2,2,prefill_chunk,3489,7,full_attention,3489,False,False,ok,,2426411
input2_layer8,4-8K,69298,2,2,prefill_chunk,3489,8,linear_attention,3489,False,False,ok,,3789684
input2_layer9,4-8K,69298,2,2,prefill_chunk,3489,9,linear_attention,3489,False,False,ok,,3760174
input2_layer10,4-8K,69298,2,2,prefill_chunk,3489,10,linear_attention,3489,False,False,ok,,3919385
input2_layer11,4-8K,69298,2,2,prefill_chunk,3489,11,full_attention,3489,False,False,ok,,2398911
input2_layer12,4-8K,69298,2,2,prefill_chunk,3489,12,linear_attention,3489,False,False,ok,,3795584
input2_layer13,4-8K,69298,2,2,prefill_chunk,3489,13,linear_attention,3489,False,False,ok,,3736234
input2_layer14,4-8K,69298,2,2,prefill_chunk,3489,14,linear_attention,3489,False,False,ok,,3720283
input2_layer15,4-8K,69298,2,2,prefill_chunk,3489,15,full_attention,3489,False,False,ok,,2360511
input2_layer16,4-8K,69298,2,2,prefill_chunk,3489,16,linear_attention,3489,False,False,ok,,3768523
input2_layer17,4-8K,69298,2,2,prefill_chunk,3489,17,linear_attention,3489,False,False,ok,,3763843
input2_layer18,4-8K,69298,2,2,prefill_chunk,3489,18,linear_attention,3489,False,False,ok,,3781033
input2_layer19,4-8K,69298,2,2,prefill_chunk,3489,19,full_attention,3489,False,False,ok,,2371292
input2_layer20,4-8K,69298,2,2,prefill_chunk,3489,20,linear_attention,3489,False,False,ok,,3814603
input2_layer21,4-8K,69298,2,2,prefill_chunk,3489,21,linear_attention,3489,False,False,ok,,3819644
input2_layer22,4-8K,69298,2,2,prefill_chunk,3489,22,linear_attention,3489,False,False,ok,,3830044
input2_layer23,4-8K,69298,2,2,prefill_chunk,3489,23,full_attention,3489,False,False,ok,,2397721
input2_layer24,4-8K,69298,2,2,prefill_chunk,3489,24,linear_attention,3489,False,False,ok,,3818424
input2_layer25,4-8K,69298,2,2,prefill_chunk,3489,25,linear_attention,3489,False,False,ok,,3850685
input2_layer26,4-8K,69298,2,2,prefill_chunk,3489,26,linear_attention,3489,False,False,ok,,3892214
input2_layer27,4-8K,69298,2,2,prefill_chunk,3489,27,full_attention,3489,False,False,ok,,2448102
input2_layer28,4-8K,69298,2,2,prefill_chunk,3489,28,linear_attention,3489,False,False,ok,,4044786
input2_layer29,4-8K,69298,2,2,prefill_chunk,3489,29,linear_attention,3489,False,False,ok,,3930015
input2_layer30,4-8K,69298,2,2,prefill_chunk,3489,30,linear_attention,3489,False,False,ok,,3966666
input2_layer31,4-8K,69298,2,2,prefill_chunk,3489,31,full_attention,3489,False,False,ok,,2486672
input2_layer32,4-8K,69298,2,2,prefill_chunk,3489,32,linear_attention,3489,False,False,ok,,4982375
input2_layer33,4-8K,69298,2,2,prefill_chunk,3489,33,linear_attention,3489,False,False,ok,,4622871
input2_layer34,4-8K,69298,2,2,prefill_chunk,3489,34,linear_attention,3489,False,False,ok,,4089036
input2_layer35,4-8K,69298,2,2,prefill_chunk,3489,35,full_attention,3489,False,False,ok,,2625593
input2_layer36,4-8K,69298,2,2,prefill_chunk,3489,36,linear_attention,3489,False,False,ok,,4105906
input2_layer37,4-8K,69298,2,2,prefill_chunk,3489,37,linear_attention,3489,False,False,ok,,4090946
input2_layer38,4-8K,69298,2,2,prefill_chunk,3489,38,linear_attention,3489,False,False,ok,,4077446
input2_layer39,4-8K,69298,2,2,prefill_chunk,3489,39,full_attention,3489,False,False,ok,,2620564
input2_layer40,4-8K,69298,2,2,prefill_chunk,3489,40,linear_attention,3489,False,False,ok,,4154247
input2_layer41,4-8K,69298,2,2,prefill_chunk,3489,41,linear_attention,3489,False,False,ok,,4105537
input2_layer42,4-8K,69298,2,2,prefill_chunk,3489,42,linear_attention,3489,False,False,ok,,4105177
input2_layer43,4-8K,69298,2,2,prefill_chunk,3489,43,full_attention,3489,False,False,ok,,3117428
input2_layer44,4-8K,69298,2,2,prefill_chunk,3489,44,linear_attention,3489,False,False,ok,,4413619
input2_layer45,4-8K,69298,2,2,prefill_chunk,3489,45,linear_attention,3489,False,False,ok,,4423250
input2_layer46,4-8K,69298,2,2,prefill_chunk,3489,46,linear_attention,3489,False,False,ok,,4306398
input2_layer47,4-8K,69298,2,2,prefill_chunk,3489,47,full_attention,3489,False,False,ok,,2908276
input2_layer48,4-8K,69298,2,2,prefill_chunk,3489,48,linear_attention,3489,False,False,ok,,4370949
input2_layer49,4-8K,69298,2,2,prefill_chunk,3489,49,linear_attention,3489,False,False,ok,,4433569
input2_layer50,4-8K,69298,2,2,prefill_chunk,3489,50,linear_attention,3489,False,False,ok,,4747522
input2_layer51,4-8K,69298,2,2,prefill_chunk,3489,51,full_attention,3489,False,False,ok,,3003147
input2_layer52,4-8K,69298,2,2,prefill_chunk,3489,52,linear_attention,3489,False,False,ok,,4631561
input2_layer53,4-8K,69298,2,2,prefill_chunk,3489,53,linear_attention,3489,False,False,ok,,4173647
input2_layer54,4-8K,69298,2,2,prefill_chunk,3489,54,linear_attention,3489,False,False,ok,,4104536
input2_layer55,4-8K,69298,2,2,prefill_chunk,3489,55,full_attention,3489,False,False,ok,,2644703
input2_layer56,4-8K,69298,2,2,prefill_chunk,3489,56,linear_attention,3489,False,False,ok,,4130897
input2_layer57,4-8K,69298,2,2,prefill_chunk,3489,57,linear_attention,3489,False,False,ok,,4095206
input2_layer58,4-8K,69298,2,2,prefill_chunk,3489,58,linear_attention,3489,False,False,ok,,5060485
input2_layer59,4-8K,69298,2,2,prefill_chunk,3489,59,full_attention,3489,False,False,ok,,3317410
input2_layer60,4-8K,69298,2,2,prefill_chunk,3489,60,linear_attention,3489,False,False,ok,,5095865
input2_layer61,4-8K,69298,2,2,prefill_chunk,3489,61,linear_attention,3489,False,False,ok,,4337278
input2_layer62,4-8K,69298,2,2,prefill_chunk,3489,62,linear_attention,3489,False,False,ok,,4730772
input2_layer63,4-8K,69298,2,2,prefill_chunk,3489,63,full_attention,3489,False,False,ok,,2833265
input3_layer0,4-8K,69298,3,3,decode,1,0,linear_attention,1,False,False,ok,,284294621
input3_layer1,4-8K,69298,3,3,decode,1,1,linear_attention,1,False,False,ok,,59342918
input3_layer2,4-8K,69298,3,3,decode,1,2,linear_attention,1,False,False,ok,,1898417
input3_layer3,4-8K,69298,3,3,decode,1,3,full_attention,1,False,False,ok,,204524951
input3_layer4,4-8K,69298,3,3,decode,1,4,linear_attention,1,False,False,ok,,2209320
input3_layer5,4-8K,69298,3,3,decode,1,5,linear_attention,1,False,False,ok,,1979418
input3_layer6,4-8K,69298,3,3,decode,1,6,linear_attention,1,False,False,ok,,1969628
input3_layer7,4-8K,69298,3,3,decode,1,7,full_attention,1,False,False,ok,,2715295
input3_layer8,4-8K,69298,3,3,decode,1,8,linear_attention,1,False,False,ok,,2069448
input3_layer9,4-8K,69298,3,3,decode,1,9,linear_attention,1,False,False,ok,,2427102
input3_layer10,4-8K,69298,3,3,decode,1,10,linear_attention,1,False,False,ok,,1889016
input3_layer11,4-8K,69298,3,3,decode,1,11,full_attention,1,False,False,ok,,2569133
input3_layer12,4-8K,69298,3,3,decode,1,12,linear_attention,1,False,False,ok,,1881136
input3_layer13,4-8K,69298,3,3,decode,1,13,linear_attention,1,False,False,ok,,1853717
input3_layer14,4-8K,69298,3,3,decode,1,14,linear_attention,1,False,False,ok,,1852797
input3_layer15,4-8K,69298,3,3,decode,1,15,full_attention,1,False,False,ok,,2429831
input3_layer16,4-8K,69298,3,3,decode,1,16,linear_attention,1,False,False,ok,,1850357
input3_layer17,4-8K,69298,3,3,decode,1,17,linear_attention,1,False,False,ok,,1844856
input3_layer18,4-8K,69298,3,3,decode,1,18,linear_attention,1,False,False,ok,,1846536
input3_layer19,4-8K,69298,3,3,decode,1,19,full_attention,1,False,False,ok,,2405751
input3_layer20,4-8K,69298,3,3,decode,1,20,linear_attention,1,False,False,ok,,1850197
input3_layer21,4-8K,69298,3,3,decode,1,21,linear_attention,1,False,False,ok,,1826987
input3_layer22,4-8K,69298,3,3,decode,1,22,linear_attention,1,False,False,ok,,1833166
input3_layer23,4-8K,69298,3,3,decode,1,23,full_attention,1,False,False,ok,,2550993
input3_layer24,4-8K,69298,3,3,decode,1,24,linear_attention,1,False,False,ok,,1827616
input3_layer25,4-8K,69298,3,3,decode,1,25,linear_attention,1,False,False,ok,,1827316
input3_layer26,4-8K,69298,3,3,decode,1,26,linear_attention,1,False,False,ok,,1813146
input3_layer27,4-8K,69298,3,3,decode,1,27,full_attention,1,False,False,ok,,2387871
input3_layer28,4-8K,69298,3,3,decode,1,28,linear_attention,1,False,False,ok,,1835296
input3_layer29,4-8K,69298,3,3,decode,1,29,linear_attention,1,False,False,ok,,1822926
input3_layer30,4-8K,69298,3,3,decode,1,30,linear_attention,1,False,False,ok,,1816906
input3_layer31,4-8K,69298,3,3,decode,1,31,full_attention,1,False,False,ok,,2407121
input3_layer32,4-8K,69298,3,3,decode,1,32,linear_attention,1,False,False,ok,,1822017
input3_layer33,4-8K,69298,3,3,decode,1,33,linear_attention,1,False,False,ok,,1801696
input3_layer34,4-8K,69298,3,3,decode,1,34,linear_attention,1,False,False,ok,,1821826
input3_layer35,4-8K,69298,3,3,decode,1,35,full_attention,1,False,False,ok,,2391841
input3_layer36,4-8K,69298,3,3,decode,1,36,linear_attention,1,False,False,ok,,1835986
input3_layer37,4-8K,69298,3,3,decode,1,37,linear_attention,1,False,False,ok,,1815966
input3_layer38,4-8K,69298,3,3,decode,1,38,linear_attention,1,False,False,ok,,1817246
input3_layer39,4-8K,69298,3,3,decode,1,39,full_attention,1,False,False,ok,,2375951
input3_layer40,4-8K,69298,3,3,decode,1,40,linear_attention,1,False,False,ok,,1825476
input3_layer41,4-8K,69298,3,3,decode,1,41,linear_attention,1,False,False,ok,,1806896
