event_id,context,pid,engine_step_id,forward_id,phase,total_num_scheduled_tokens,layer_id,layer_type,q_len,matched,instrumented,status,error,duration_ns
input1_layer0,8-16K,70882,1,1,prefill_chunk,4096,0,linear_attention,4096,False,False,ok,,12351269380
input1_layer1,8-16K,70882,1,1,prefill_chunk,4096,1,linear_attention,4096,False,False,ok,,14045705
input1_layer2,8-16K,70882,1,1,prefill_chunk,4096,2,linear_attention,4096,False,False,ok,,4315759
input1_layer3,8-16K,70882,1,1,prefill_chunk,4096,3,full_attention,4096,True,True,ok,,117784188
input1_layer4,8-16K,70882,1,1,prefill_chunk,4096,4,linear_attention,4096,False,False,ok,,4622051
input1_layer5,8-16K,70882,1,1,prefill_chunk,4096,5,linear_attention,4096,False,False,ok,,4118046
input1_layer6,8-16K,70882,1,1,prefill_chunk,4096,6,linear_attention,4096,False,False,ok,,3844765
input1_layer7,8-16K,70882,1,1,prefill_chunk,4096,7,full_attention,4096,False,False,ok,,2464062
input1_layer8,8-16K,70882,1,1,prefill_chunk,4096,8,linear_attention,4096,False,False,ok,,3792734
input1_layer9,8-16K,70882,1,1,prefill_chunk,4096,9,linear_attention,4096,False,False,ok,,3789764
input1_layer10,8-16K,70882,1,1,prefill_chunk,4096,10,linear_attention,4096,False,False,ok,,3799694
input1_layer11,8-16K,70882,1,1,prefill_chunk,4096,11,full_attention,4096,False,False,ok,,2393761
input1_layer12,8-16K,70882,1,1,prefill_chunk,4096,12,linear_attention,4096,False,False,ok,,3804744
input1_layer13,8-16K,70882,1,1,prefill_chunk,4096,13,linear_attention,4096,False,False,ok,,3780244
input1_layer14,8-16K,70882,1,1,prefill_chunk,4096,14,linear_attention,4096,False,False,ok,,3824695
input1_layer15,8-16K,70882,1,1,prefill_chunk,4096,15,full_attention,4096,False,False,ok,,2380321
input1_layer16,8-16K,70882,1,1,prefill_chunk,4096,16,linear_attention,4096,False,False,ok,,3838524
input1_layer17,8-16K,70882,1,1,prefill_chunk,4096,17,linear_attention,4096,False,False,ok,,3799234
input1_layer18,8-16K,70882,1,1,prefill_chunk,4096,18,linear_attention,4096,False,False,ok,,3952246
input1_layer19,8-16K,70882,1,1,prefill_chunk,4096,19,full_attention,4096,False,False,ok,,2371421
input1_layer20,8-16K,70882,1,1,prefill_chunk,4096,20,linear_attention,4096,False,False,ok,,3816084
input1_layer21,8-16K,70882,1,1,prefill_chunk,4096,21,linear_attention,4096,False,False,ok,,3836524
input1_layer22,8-16K,70882,1,1,prefill_chunk,4096,22,linear_attention,4096,False,False,ok,,3805614
input1_layer23,8-16K,70882,1,1,prefill_chunk,4096,23,full_attention,4096,False,False,ok,,2380361
input1_layer24,8-16K,70882,1,1,prefill_chunk,4096,24,linear_attention,4096,False,False,ok,,3841385
input1_layer25,8-16K,70882,1,1,prefill_chunk,4096,25,linear_attention,4096,False,False,ok,,3814984
input1_layer26,8-16K,70882,1,1,prefill_chunk,4096,26,linear_attention,4096,False,False,ok,,3853734
input1_layer27,8-16K,70882,1,1,prefill_chunk,4096,27,full_attention,4096,False,False,ok,,2410372
input1_layer28,8-16K,70882,1,1,prefill_chunk,4096,28,linear_attention,4096,False,False,ok,,3921525
input1_layer29,8-16K,70882,1,1,prefill_chunk,4096,29,linear_attention,4096,False,False,ok,,3860124
input1_layer30,8-16K,70882,1,1,prefill_chunk,4096,30,linear_attention,4096,False,False,ok,,3848795
input1_layer31,8-16K,70882,1,1,prefill_chunk,4096,31,full_attention,4096,False,False,ok,,2408811
input1_layer32,8-16K,70882,1,1,prefill_chunk,4096,32,linear_attention,4096,False,False,ok,,3870784
input1_layer33,8-16K,70882,1,1,prefill_chunk,4096,33,linear_attention,4096,False,False,ok,,3867384
input1_layer34,8-16K,70882,1,1,prefill_chunk,4096,34,linear_attention,4096,False,False,ok,,3880834
input1_layer35,8-16K,70882,1,1,prefill_chunk,4096,35,full_attention,4096,False,False,ok,,2421992
input1_layer36,8-16K,70882,1,1,prefill_chunk,4096,36,linear_attention,4096,False,False,ok,,4596451
input1_layer37,8-16K,70882,1,1,prefill_chunk,4096,37,linear_attention,4096,False,False,ok,,3971585
input1_layer38,8-16K,70882,1,1,prefill_chunk,4096,38,linear_attention,4096,False,False,ok,,3945986
input1_layer39,8-16K,70882,1,1,prefill_chunk,4096,39,full_attention,4096,False,False,ok,,2532772
input1_layer40,8-16K,70882,1,1,prefill_chunk,4096,40,linear_attention,4096,False,False,ok,,3958506
input1_layer41,8-16K,70882,1,1,prefill_chunk,4096,41,linear_attention,4096,False,False,ok,,3935965
input1_layer42,8-16K,70882,1,1,prefill_chunk,4096,42,linear_attention,4096,False,False,ok,,3897864
input1_layer43,8-16K,70882,1,1,prefill_chunk,4096,43,full_attention,4096,False,False,ok,,2465932
input1_layer44,8-16K,70882,1,1,prefill_chunk,4096,44,linear_attention,4096,False,False,ok,,3959825
input1_layer45,8-16K,70882,1,1,prefill_chunk,4096,45,linear_attention,4096,False,False,ok,,3967095
input1_layer46,8-16K,70882,1,1,prefill_chunk,4096,46,linear_attention,4096,False,False,ok,,3933755
input1_layer47,8-16K,70882,1,1,prefill_chunk,4096,47,full_attention,4096,False,False,ok,,2451002
input1_layer48,8-16K,70882,1,1,prefill_chunk,4096,48,linear_attention,4096,False,False,ok,,3955275
input1_layer49,8-16K,70882,1,1,prefill_chunk,4096,49,linear_attention,4096,False,False,ok,,3919795
input1_layer50,8-16K,70882,1,1,prefill_chunk,4096,50,linear_attention,4096,False,False,ok,,3941055
input1_layer51,8-16K,70882,1,1,prefill_chunk,4096,51,full_attention,4096,False,False,ok,,2628563
input1_layer52,8-16K,70882,1,1,prefill_chunk,4096,52,linear_attention,4096,False,False,ok,,3925105
input1_layer53,8-16K,70882,1,1,prefill_chunk,4096,53,linear_attention,4096,False,False,ok,,3990745
input1_layer54,8-16K,70882,1,1,prefill_chunk,4096,54,linear_attention,4096,False,False,ok,,3854124
input1_layer55,8-16K,70882,1,1,prefill_chunk,4096,55,full_attention,4096,False,False,ok,,2430632
input1_layer56,8-16K,70882,1,1,prefill_chunk,4096,56,linear_attention,4096,False,False,ok,,3939835
input1_layer57,8-16K,70882,1,1,prefill_chunk,4096,57,linear_attention,4096,False,False,ok,,3895465
input1_layer58,8-16K,70882,1,1,prefill_chunk,4096,58,linear_attention,4096,False,False,ok,,3885065
input1_layer59,8-16K,70882,1,1,prefill_chunk,4096,59,full_attention,4096,False,False,ok,,2428662
input1_layer60,8-16K,70882,1,1,prefill_chunk,4096,60,linear_attention,4096,False,False,ok,,3909635
input1_layer61,8-16K,70882,1,1,prefill_chunk,4096,61,linear_attention,4096,False,False,ok,,3914525
input1_layer62,8-16K,70882,1,1,prefill_chunk,4096,62,linear_attention,4096,False,False,ok,,3913435
input1_layer63,8-16K,70882,1,1,prefill_chunk,4096,63,full_attention,4096,False,False,ok,,2454722
input2_layer0,8-16K,70882,2,2,prefill_chunk,4096,0,linear_attention,4096,False,False,ok,,6652029
input2_layer1,8-16K,70882,2,2,prefill_chunk,4096,1,linear_attention,4096,False,False,ok,,5143956
input2_layer2,8-16K,70882,2,2,prefill_chunk,4096,2,linear_attention,4096,False,False,ok,,4832393
input2_layer3,8-16K,70882,2,2,prefill_chunk,4096,3,full_attention,4096,False,False,ok,,3154488
input2_layer4,8-16K,70882,2,2,prefill_chunk,4096,4,linear_attention,4096,False,False,ok,,4215757
input2_layer5,8-16K,70882,2,2,prefill_chunk,4096,5,linear_attention,4096,False,False,ok,,4094076
input2_layer6,8-16K,70882,2,2,prefill_chunk,4096,6,linear_attention,4096,False,False,ok,,4035186
